"","Gebruiksdoel","Type","Hoofdadres","ID","Oppervlakte","MaaktDeelUitVan","x_coordinate","y_coordinate"
"84","woonfunctie","Verblijfsobject","0363200000461708","0363010000959697",118,"0363100012136192",125112,487515
"85","woonfunctie","Verblijfsobject","0363200000461735","0363010000959782",110,"0363100012073571",124995,487495
"86","woonfunctie","Verblijfsobject","0363200000474104","0363010000993812",240,"0363100012098434",124892,487346
"87","woonfunctie","Verblijfsobject","0363200000461748","0363010000979748",123,"0363100012069578",124941,487486
"88","woonfunctie","Verblijfsobject","0363200000461838","0363010000981249",129,"0363100012139285",124968,487464
"89","woonfunctie","Verblijfsobject","0363200000461803","0363010000981531",133,"0363100012132184",125122,487492
"90","woonfunctie","Verblijfsobject","0363200000461852","0363010000982758",87,"0363100012133171",125131,487469
"91","woonfunctie","Verblijfsobject","0363200000461889","0363010000982793",132,"0363100012063757",125024,487457
"92","woonfunctie","Verblijfsobject","0363200000461892","0363010000982816",156,"0363100012094438",124958,487440
"93","woonfunctie","Verblijfsobject","0363200000461843","0363010000982826",126,"0363100012143625",124945,487450
"94","woonfunctie","Verblijfsobject","0363200000461695","0363010000983451",153,"0363100012079748",125092,487405
"95","woonfunctie","Verblijfsobject","0363200000461698","0363010000984377",151,"0363100012063237",125044,487416
"96","woonfunctie","Verblijfsobject","0363200000461685","0363010000984378",142,"0363100012130134",125131,487412
"97","woonfunctie","Verblijfsobject","0363200000461692","0363010000984386",117,"0363100012098588",125110,487409
"98","woonfunctie","Verblijfsobject","0363200000461683","0363010000984388",136,"0363100012063237",125048,487415
"99","woonfunctie","Verblijfsobject","0363200000474230","0363010000986990",163,"0363100012115636",125034,487247
"100","woonfunctie","Verblijfsobject","0363200000474233","0363010000986995",160,"0363100012115636",125052,487249
"101","woonfunctie","Verblijfsobject","0363200000474234","0363010000986997",152,"0363100012115636",125057,487250
"102","woonfunctie","Verblijfsobject","0363200000474235","0363010000986998",160,"0363100012115636",125063,487251
"103","woonfunctie","Verblijfsobject","0363200000474237","0363010000987000",132,"0363100012115636",125074,487254
"104","woonfunctie","Verblijfsobject","0363200000474238","0363010000987001",140,"0363100012115636",125079,487254
"105","woonfunctie","Verblijfsobject","0363200000474240","0363010000987003",152,"0363100012115636",125090,487257
"106","woonfunctie","Verblijfsobject","0363200000474244","0363010000987007",160,"0363100012115636",125112,487261
"107","woonfunctie","Verblijfsobject","0363200000474248","0363010000987011",160,"0363100012115636",125133,487264
"108","woonfunctie","Verblijfsobject","0363200000474249","0363010000987012",140,"0363100012115636",125138,487264
"109","woonfunctie","Verblijfsobject","0363200000474260","0363010000987027",134,"0363100012115636",125093,487239
"110","woonfunctie","Verblijfsobject","0363200000474261","0363010000987028",142,"0363100012115636",125098,487240
"111","woonfunctie","Verblijfsobject","0363200000474263","0363010000987030",162,"0363100012115636",125109,487242
"112","woonfunctie","Verblijfsobject","0363200000474114","0363010000987615",95,"0363100012099333",124693,487407
"113","woonfunctie","Verblijfsobject","0363200000474115","0363010000987616",100,"0363100012119884",124689,487411
"114","woonfunctie","Verblijfsobject","0363200000474116","0363010000987617",86,"0363100012088688",124686,487416
"115","woonfunctie","Verblijfsobject","0363200000474179","0363010000986327",114,"0363100012078644",124719,487423
"116","woonfunctie","Verblijfsobject","0363200000474245","0363010000987008",160,"0363100012115636",125117,487260
"117","woonfunctie","Verblijfsobject","0363200000474333","0363010000994358",204,"0363100012065340",125160,487253
"118","woonfunctie","Verblijfsobject","0363200000474246","0363010000987009",152,"0363100012115636",125123,487262
"119","woonfunctie","Verblijfsobject","0363200000474232","0363010000986994",160,"0363100012115636",125047,487247
"120","woonfunctie","Verblijfsobject","0363200000474231","0363010000986992",160,"0363100012115636",125041,487247
"121","woonfunctie","Verblijfsobject","0363200000461733","0363010000959780",103,"0363100012106954",125003,487496
"122","industriefunctie","Verblijfsobject","0363200000461828","0363010000981560",22,"0363100012087686",125021,487474
"123","woonfunctie","Verblijfsobject","0363200000461809","0363010000981564",93,"0363100012120577",125098,487487
"124","woonfunctie","Verblijfsobject","0363200000461810","0363010000981565",80,"0363100012109767",125095,487487
"125","woonfunctie","Verblijfsobject","0363200000461811","0363010000981566",75,"0363100012072663",125098,487480
"126","woonfunctie","Verblijfsobject","0363200000461813","0363010000981568",80,"0363100012094992",125085,487485
"127","woonfunctie","Verblijfsobject","0363200000461814","0363010000981569",75,"0363100012144094",125088,487479
"128","woonfunctie","Verblijfsobject","0363200000461875","0363010000982790",1,"0363100012136780",125024,487451
"129","woonfunctie","Verblijfsobject","0363200000461669","0363010000983446",79,"0363100012153977",125111,487426
"130","woonfunctie","Verblijfsobject","0363200000461697","0363010000984387",118,"0363100012130134",125136,487388
"131","woonfunctie","Verblijfsobject","0363200000461671","0363010000985408",79,"0363100012146896",125102,487424
"132","woonfunctie","Verblijfsobject","0363200000461672","0363010000985410",79,"0363100012136323",125098,487424
"133","overige gebruiksfunctie","Verblijfsobject","0363200000473545","0363010000986031",1,"0363100012086724",124975,487222
"134","woonfunctie","Verblijfsobject","0363200000470907","0363010000986234",120,"0363100012143766",124832,487210
"135","woonfunctie","Verblijfsobject","0363200000470904","0363010000986246",120,"0363100012152072",124825,487210
"136","woonfunctie","Verblijfsobject","0363200000470903","0363010000986248",120,"0363100012091866",124818,487208
"137","woonfunctie","Verblijfsobject","0363200000470902","0363010000986250",120,"0363100012091866",124818,487209
"138","woonfunctie","Verblijfsobject","0363200000470901","0363010000986251",120,"0363100012115546",124811,487207
"139","woonfunctie","Verblijfsobject","0363200000470900","0363010000986252",120,"0363100012115546",124811,487208
"140","woonfunctie","Verblijfsobject","0363200000470899","0363010000986253",120,"0363100012096701",124805,487205
"141","woonfunctie","Verblijfsobject","0363200000470898","0363010000986254",120,"0363100012096701",124804,487207
"142","woonfunctie","Verblijfsobject","0363200000470967","0363010000987078",120,"0363100012093111",124833,487178
"143","woonfunctie","Verblijfsobject","0363200000470968","0363010000987079",120,"0363100012124879",124840,487177
"144","woonfunctie","Verblijfsobject","0363200000470969","0363010000987080",120,"0363100012124879",124840,487179
"145","woonfunctie","Verblijfsobject","0363200000473546","0363010000987341",92,"0363100012086724",124964,487211
"146","woonfunctie","Verblijfsobject","0363200000473552","0363010000987352",92,"0363100012086724",124964,487211
"147","woonfunctie","Verblijfsobject","0363200000473553","0363010000987354",92,"0363100012086724",124964,487211
"148","woonfunctie","Verblijfsobject","0363200000473583","0363010000987390",92,"0363100012086724",124964,487211
"149","woonfunctie","Verblijfsobject","0363200000473592","0363010000987394",92,"0363100012086724",124964,487211
"150","woonfunctie","Verblijfsobject","0363200000473593","0363010000987396",92,"0363100012086724",124964,487211
"151","woonfunctie","Verblijfsobject","0363200000473594","0363010000987397",92,"0363100012086724",124964,487211
"152","woonfunctie","Verblijfsobject","0363200000473674","0363010000987577",134,"0363100012086724",125005,487195
